"0: ""Algeria"""
"1: ""Angola"""
"2: ""Argentina"""
"3: ""Australia"""
"4: ""Austria"""
"5: ""Azerbaijan"""
"6: ""Bahrain"""
"7: ""Bangladesh"""
"8: ""Belarus"""
"9: ""Belgium"""
"10: ""Bolivia"""
"11: ""Brazil"""
"12: ""Brunei"""
"13: ""Bulgaria"""
"14: ""Canada"""
"15: ""Chad"""
"16: ""Chile"""
"17: ""China"""
"18: ""China Hong Kong SAR"""
"19: ""Colombia"""
"20: ""Croatia"""
"21: ""Cuba"""
"22: ""Curacao"""
"23: ""Cyprus"""
"24: ""Czech Republic"""
"25: ""Democratic Republic of Congo"""
"26: ""Denmark"""
"27: ""Ecuador"""
"28: ""Egypt"""
"29: ""Equatorial Guinea"""
"30: ""Estonia"""
"31: ""Finland"""
"32: ""France"""
"33: ""Gabon"""
"34: ""Germany"""
"35: ""Greece"""
"36: ""Hungary"""
"37: ""Iceland"""
"38: ""India"""
"39: ""Indonesia"""
"40: ""Iran"""
"41: ""Iraq"""
"42: ""Ireland"""
"43: ""Israel"""
"44: ""Italy"""
"45: ""Japan"""
"46: ""Kazakhstan"""
"47: ""Kuwait"""
"48: ""Latvia"""
"49: ""Libya"""
"50: ""Lithuania"""
"51: ""Luxembourg"""
"52: ""Madagascar"""
"53: ""Malaysia"""
"54: ""Mexico"""
"55: ""Mongolia"""
"56: ""Morocco"""
"57: ""Mozambique"""
"58: ""Myanmar"""
"59: ""Netherlands"""
"60: ""Netherlands Antilles"""
"61: ""New Caledonia"""
"62: ""New Zealand"""
"63: ""Nigeria"""
"64: ""North Macedonia"""
"65: ""Norway"""
"66: ""Oman"""
"67: ""Pakistan"""
"68: ""Papua New Guinea"""
"69: ""Peru"""
"70: ""Philippines"""
"71: ""Poland"""
"72: ""Portugal"""
"73: ""Qatar"""
"74: ""Republic of Congo"""
"75: ""Romania"""
"76: ""Russian Federation"""
"77: ""Saudi Arabia"""
"78: ""Serbia"""
"79: ""Singapore"""
"80: ""Slovakia"""
"81: ""Slovenia"""
"82: ""South Africa"""
"83: ""South Korea"""
"84: ""South Sudan"""
"85: ""Spain"""
"86: ""Sri Lanka"""
"87: ""Sudan"""
"88: ""Sweden"""
"89: ""Switzerland"""
"90: ""Syria"""
"91: ""Taiwan"""
"92: ""Thailand"""
"93: ""Total Africa"""
"94: ""Total Asia Pacific"""
"95: ""Total CIS"""
"96: ""Total Central America"""
"97: ""Total Eastern Africa"""
"98: ""Total Europe"""
"99: ""Total European Union"""
"100: ""Total Middle Africa"""
"101: ""Total Middle East"""
"102: ""Total Non-OECD"""
"103: ""Total North America"""
"104: ""Total OECD"""
"105: ""Total S. & Cent. America"""
"106: ""Total Western Africa"""
"107: ""Total World"""
"108: ""Trinidad & Tobago"""
"109: ""Tunisia"""
"110: ""Turkey"""
"111: ""Turkmenistan"""
"112: ""US"""
"113: ""USSR"""
"114: ""Ukraine"""
"115: ""United Arab Emirates"""
"116: ""United Kingdom"""
"117: ""Uzbekistan"""
"118: ""Venezuela"""
"119: ""Vietnam"""
"120: ""Yemen"""
"121: ""Zambia"""
"122: ""Zimbabwe"""
