Country,Year,Fossil fuels,Nuclear,Renewable sources,Total
Australia,1971,41201,0,11844,53045
Australia,1972,43730,0,11853,55583
Australia,1973,52662,0,11749,64411
Australia,1974,55974,0,13629,69603
Australia,1975,58406,0,15173,73579
Australia,1976,60843,0,15549,76392
Australia,1977,68911,0,13576,82487
Australia,1978,71507,0,14287,85794
Australia,1979,74856,0,15787,90643
Australia,1980,81907,0,13327,95234
Australia,1981,87728,0,14480,102208
Australia,1982,90301,0,14112,104413
Australia,1983,92954,0,12563,105517
Australia,1984,98977,0,12527,111504
Australia,1985,105542,0,14118,119660
Australia,1986,110412,0,14962,125374
Australia,1987,117456,0,14067,131523
Australia,1988,123265,0,15029,138294
Australia,1989,131817,0,15265,147082
Australia,1990,139389,0,14898,154287
Australia,1991,139946,0,16590,156536
Australia,1992,143107,0,16019,159126
Australia,1993,146016,0,17220,163236
Australia,1994,150127,0,17042,167169
Australia,1995,156174,0,16631,172805
Australia,1996,160913,0,16362,177275
Australia,1997,165092,0,17507,182599
Australia,1998,178571,0,16448,195019
Australia,1999,186229,0,17398,203627
Australia,2000,192274,0,17590,209864
Australia,2001,206103,0,18162,224265
Australia,2002,209504,0,17874,227378
Australia,2003,201967,0,18619,220586
Australia,2004,209530,0,18683,228213
Australia,2005,208244,0,20103,228347
Australia,2006,211085,0,21642,232727
Australia,2007,221966,0,21013,242979
Australia,2008,223347,0,19726,243073
Australia,2009,229493,0,18602,248095
Australia,2010,230893,0,21721,252614
Australia,2011,227433,0,26273,253706
Australia,2012,224509,0,26318,250827
Australia,2013,216511,0,32704,249215
Australia,2014,211256,0,36112,247368
Australia,2015,217871,0,33423,251294
Australia,2016,219115,0,37151,256266
Australia,2017,217564,0,40207,257771
Australia,2018,216366,0,44415,260781
Australia,2019,212002,0,51658,263660
Australia,2020,205248,0,59545,264793
Austria,1971,11752,0,16450,28202
Austria,1972,11939,0,16986,28925
Austria,1973,11964,0,18952,30916
Austria,1974,11005,0,22400,33405
Austria,1975,11242,0,23691,34933
Austria,1976,14561,0,20273,34834
Austria,1977,12540,0,24788,37328
Austria,1978,12875,0,24802,37677
