Country,Year,Category,Value,lastValue
Australia,1971,Fossil fuels,41201,0
Australia,1972,Fossil fuels,43730,41201
Australia,1973,Fossil fuels,52662,43730
Australia,1974,Fossil fuels,55974,52662
Australia,1975,Fossil fuels,58406,55974
Australia,1976,Fossil fuels,60843,58406
Australia,1977,Fossil fuels,68911,60843
Australia,1978,Fossil fuels,71507,68911
Australia,1979,Fossil fuels,74856,71507
Australia,1980,Fossil fuels,81907,74856
Australia,1981,Fossil fuels,87728,81907
Australia,1982,Fossil fuels,90301,87728
Australia,1983,Fossil fuels,92954,90301
Australia,1984,Fossil fuels,98977,92954
Australia,1985,Fossil fuels,105542,98977
Australia,1986,Fossil fuels,110412,105542
Australia,1987,Fossil fuels,117456,110412
Australia,1988,Fossil fuels,123265,117456
Australia,1989,Fossil fuels,131817,123265
Australia,1990,Fossil fuels,139389,131817
Australia,1991,Fossil fuels,139946,139389
Australia,1992,Fossil fuels,143107,139946
Australia,1993,Fossil fuels,146016,143107
Australia,1994,Fossil fuels,150127,146016
Australia,1995,Fossil fuels,156174,150127
Australia,1996,Fossil fuels,160913,156174
Australia,1997,Fossil fuels,165092,160913
Australia,1998,Fossil fuels,178571,165092
Australia,1999,Fossil fuels,186229,178571
Australia,2000,Fossil fuels,192274,186229
Australia,2001,Fossil fuels,206103,192274
Australia,2002,Fossil fuels,209504,206103
Australia,2003,Fossil fuels,201967,209504
Australia,2004,Fossil fuels,209530,201967
Australia,2005,Fossil fuels,208244,209530
Australia,2006,Fossil fuels,211085,208244
Australia,2007,Fossil fuels,221966,211085
Australia,2008,Fossil fuels,223347,221966
Australia,2009,Fossil fuels,229493,223347
Australia,2010,Fossil fuels,230893,229493
Australia,2011,Fossil fuels,227433,230893
Australia,2012,Fossil fuels,224509,227433
Australia,2013,Fossil fuels,216511,224509
Australia,2014,Fossil fuels,211256,216511
Australia,2015,Fossil fuels,217871,211256
Australia,2016,Fossil fuels,219115,217871
Australia,2017,Fossil fuels,217564,219115
Australia,2018,Fossil fuels,216366,217564
Australia,2019,Fossil fuels,212002,216366
Australia,2020,Fossil fuels,205248,212002
Australia,1971,Nuclear,0,0
Australia,1972,Nuclear,0,0
Australia,1973,Nuclear,0,0
Australia,1974,Nuclear,0,0
Australia,1975,Nuclear,0,0
Australia,1976,Nuclear,0,0
Australia,1977,Nuclear,0,0
Australia,1978,Nuclear,0,0
Australia,1979,Nuclear,0,0
Australia,1980,Nuclear,0,0
Australia,1981,Nuclear,0,0
Australia,1982,Nuclear,0,0
Australia,1983,Nuclear,0,0
Australia,1984,Nuclear,0,0
Australia,1985,Nuclear,0,0
Australia,1986,Nuclear,0,0
Australia,1987,Nuclear,0,0
Australia,1988,Nuclear,0,0
Australia,1989,Nuclear,0,0
Australia,1990,Nuclear,0,0
Australia,1991,Nuclear,0,0
Australia,1992,Nuclear,0,0
Australia,1993,Nuclear,0,0
Australia,1994,Nuclear,0,0
Australia,1995,Nuclear,0,0
Australia,1996,Nuclear,0,0
Australia,1997,Nuclear,0,0
Australia,1998,Nuclear,0,0
Australia,1999,Nuclear,0,0
Australia,2000,Nuclear,0,0
Australia,2001,Nuclear,0,0
Australia,2002,Nuclear,0,0
Australia,2003,Nuclear,0,0
Australia,2004,Nuclear,0,0
Australia,2005,Nuclear,0,0
Australia,2006,Nuclear,0,0
Australia,2007,Nuclear,0,0
Australia,2008,Nuclear,0,0
Australia,2009,Nuclear,0,0
Australia,2010,Nuclear,0,0
Australia,2011,Nuclear,0,0
Australia,2012,Nuclear,0,0
Australia,2013,Nuclear,0,0
Australia,2014,Nuclear,0,0
Australia,2015,Nuclear,0,0
Australia,2016,Nuclear,0,0
Australia,2017,Nuclear,0,0
Australia,2018,Nuclear,0,0
Australia,2019,Nuclear,0,0
Australia,2020,Nuclear,0,0
Australia,1971,Renewable sources,11844,0
Australia,1972,Renewable sources,11853,11844
Australia,1973,Renewable sources,11749,11853
Australia,1974,Renewable sources,13629,11749
Australia,1975,Renewable sources,15173,13629
Australia,1976,Renewable sources,15549,15173
Australia,1977,Renewable sources,13576,15549
